Measurement time:; 2020-12-10 10:08:40 AM
Radiation device:; Varian TrueBeam Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; SMARTSCAN (48*48*41)
Field detector:; EFD3G Diode
Reference detector:; CC 13
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
62.7; 0.0; 20.0; 5.90; 244561.8; 5.77
62.2; 0.0; 20.0; 6.21; 257420.5; 6.21
61.7; 0.0; 20.0; 6.89; 285625.8; 6.77
61.2; 0.0; 20.0; 7.46; 309287.3; 7.33
60.7; 0.0; 20.0; 8.11; 336356.7; 7.96
60.2; 0.0; 20.0; 8.88; 368224.5; 8.71
59.7; 0.0; 20.0; 9.63; 399322.3; 9.43
59.2; 0.0; 20.0; 10.47; 434310.7; 10.27
58.7; 0.0; 20.0; 11.41; 473165.0; 11.27
58.2; 0.0; 20.0; 12.49; 518181.4; 12.40
57.7; 0.0; 20.0; 13.88; 575614.9; 13.63
57.2; 0.0; 20.0; 15.29; 634124.0; 14.99
56.7; 0.0; 20.0; 16.82; 697767.4; 16.49
56.2; 0.0; 20.0; 18.72; 776629.2; 18.29
55.7; 0.0; 20.0; 20.39; 845785.4; 20.02
55.1; 0.0; 20.0; 22.36; 927479.3; 22.15
54.6; 0.0; 20.0; 24.71; 1025057.2; 24.37
54.1; 0.0; 20.0; 27.05; 1121933.5; 26.77
53.7; 0.0; 20.0; 29.47; 1222485.2; 29.04
53.1; 0.0; 20.0; 32.80; 1360619.1; 32.07
52.6; 0.0; 20.0; 35.72; 1481761.9; 35.00
52.1; 0.0; 20.0; 38.83; 1610873.4; 38.00
51.6; 0.0; 20.0; 41.91; 1738507.8; 41.28
51.1; 0.0; 20.0; 45.02; 1867517.6; 44.37
50.6; 0.0; 20.0; 48.41; 2008144.9; 47.82
50.1; 0.0; 20.0; 52.06; 2159415.7; 51.14
49.6; 0.0; 20.0; 55.54; 2303981.4; 54.57
49.1; 0.0; 20.0; 59.24; 2457327.5; 58.14
48.6; 0.0; 20.0; 62.44; 2589903.6; 61.54
48.1; 0.0; 20.0; 65.83; 2730450.7; 64.39
47.6; 0.0; 20.0; 69.48; 2881913.8; 67.77
47.1; 0.0; 20.0; 70.75; 2934782.9; 70.52
46.6; 0.0; 20.0; 74.91; 3107156.9; 73.60
46.1; 0.0; 20.0; 77.68; 3222156.6; 76.27
45.6; 0.0; 20.0; 79.69; 3305690.5; 78.48
45.1; 0.0; 20.0; 82.20; 3409766.1; 80.56
44.6; 0.0; 20.0; 84.50; 3505121.2; 82.56
44.1; 0.0; 20.0; 86.03; 3568511.1; 84.35
43.6; 0.0; 20.0; 87.30; 3621185.2; 85.97
43.1; 0.0; 20.0; 88.19; 3658000.7; 87.64
42.6; 0.0; 20.0; 90.27; 3744624.5; 88.87
42.1; 0.0; 20.0; 91.50; 3795501.7; 90.14
41.6; 0.0; 20.0; 92.52; 3837969.5; 90.77
41.1; 0.0; 20.0; 94.07; 3902128.0; 92.12
40.6; 0.0; 20.0; 94.55; 3922152.5; 92.83
40.1; 0.0; 20.0; 95.83; 3975233.5; 93.78
